area,dificuldade,enunciado,fonte,correta,incorretas,explicacao
GERAL,1,"Segundo a LGPD, o que é dado pessoal?","Art. 5º, I",Informação relacionada a pessoa natural identificada ou identificável,"Apenas CPF, RG e passaporte | Somente dados financeiros e bancários | Qualquer dado cadastral de uma empresa","Dado pessoal é a informação relacionada a pessoa natural identificada ou identificável (Art. 5º, I)."
GERAL,1,"Qual destes é dado pessoal sensível, na lista do Art. 5º, II?","Art. 5º, II",Filiação a sindicato,Número de telefone | Endereço residencial | Data de nascimento,"A lista do Art. 5º, II, inclui origem racial ou étnica, convicção religiosa, opinião política, filiação a sindicato, dado referente à saúde ou à vida sexual, dado genético ou biométrico. Telefone e endereço não estão nela."
GERAL,2,Uma empresa (pessoa jurídica) pode ser 'titular' de dados na LGPD?,"Art. 5º, I e V",Não: titular é sempre pessoa natural,"Sim, qualquer pessoa jurídica é titular | Sim, desde que seja microempresa | Apenas empresas públicas","Não. Titular é a pessoa natural a quem se referem os dados (Art. 5º, V); dado pessoal é informação relacionada a pessoa natural (Art. 5º, I). Os dados dos sócios e representantes, esses sim, são pessoais."
GERAL,1,Quem toma as decisões referentes ao tratamento de dados pessoais é o:,"Art. 5º, VI",Controlador,Operador | Titular | Encarregado,"Controlador: pessoa natural ou jurídica a quem competem as decisões referentes ao tratamento (Art. 5º, VI)."
GERAL,1,Quem realiza o tratamento de dados pessoais em nome do controlador é o:,"Art. 5º, VII",Operador,Controlador | Titular | Autoridade nacional,"Operador: pessoa natural ou jurídica que realiza o tratamento em nome do controlador (Art. 5º, VII)."
GERAL,1,O encarregado (DPO) atua como canal de comunicação entre:,"Art. 5º, VIII","O controlador, os titulares e a ANPD",Apenas a empresa e o Procon | O operador e os fornecedores | A empresa e a Receita Federal,"O encarregado é a pessoa indicada para atuar como canal de comunicação entre o controlador, os titulares dos dados e a ANPD (Art. 5º, VIII)."
GERAL,1,Qual destas operações é considerada 'tratamento' de dados pessoais?,"Art. 5º, X","Todas: coletar, armazenar, transmitir e eliminar",Apenas coletar | Apenas vender dados | Somente publicar na internet,"Tratamento é toda operação com dados pessoais: coleta, acesso, armazenamento, transmissão, eliminação, entre outras (Art. 5º, X). Até apagar dados é tratamento."
GERAL,2,Dados anonimizados são considerados dados pessoais para a LGPD?,Art. 12,"Não, salvo se a anonimização puder ser revertida com esforços razoáveis","Sim, sempre | Nunca, em nenhuma hipótese | Só se forem dados sensíveis","Não, salvo quando a anonimização for revertida com meios próprios ou puder ser revertida com esforços razoáveis (Art. 12). Dados usados para perfil comportamental de pessoa identificada podem ser pessoais (§ 2º)."
GERAL,1,"Para ser válido, o consentimento deve ser uma manifestação:","Art. 5º, XII","Livre, informada e inequívoca, para finalidade determinada","Presumida pelo silêncio do titular | Genérica, valendo para qualquer finalidade | Verbal e sem possibilidade de revogação","Consentimento é manifestação livre, informada e inequívoca pela qual o titular concorda com o tratamento para uma finalidade determinada (Art. 5º, XII)."
GERAL,2,Limitar o tratamento ao mínimo necessário para a finalidade é o princípio da:,"Art. 6º, III",Necessidade,Livre acesso | Qualidade dos dados | Prevenção,"Necessidade: limitação do tratamento ao mínimo necessário, com dados pertinentes, proporcionais e não excessivos em relação às finalidades (Art. 6º, III)."
